"country","period","sex","education","age.x","lx","LE","dx","edu","year","age.y","share","age2"
"Denmark","1991-1995","m","High","55-59",95025.9078149453,24.0150255550796,3511.59511459137,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","60-64",91514.3127003539,19.8406019747693,6052.32835634622,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","65-69",85461.9843440077,16.0686452720739,9155.62781934417,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","70-74",76306.3565246635,12.6966808877393,13013.3768693934,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","75-79",63292.9796552701,9.79317329387688,16569.1976974141,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","80-84",46723.781957856,7.37947999004167,18106.1936232738,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","85-89",28617.5883345823,5.46670063378199,15866.4475457216,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","High","90+",12751.1407888607,4.15821347715692,12751.1407888607,"High","1991","30-34",0.229229920249882,"30"
"Denmark","1991-1995","m","Low","30-34",1e+05,42.2640805881372,1294.05694382096,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","35-39",98705.943056179,37.7853965596634,1653.68276469492,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","40-44",97052.2602914841,33.3866278134321,2210.13336304744,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","45-49",94842.1269284367,29.1063877852219,2683.11352832326,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","50-54",92159.0134001134,24.8810050079173,3761.66632247351,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","55-59",88397.3470776399,20.8334077166485,5711.18342484743,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","60-64",82686.1636527925,17.0997072962488,8359.45382265032,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","65-69",74326.7098301422,13.7417223840431,11447.6386010009,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","70-74",62879.0712291413,10.7883679942547,14536.527810492,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","75-79",48342.5434186493,8.280667392089,16217.135370215,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","80-84",32125.4080484343,6.19878956773133,15106.1925679943,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","85-89",17019.21548044,4.48182147615592,11437.4540416322,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","1991-1995","m","Low","90+",5581.76143880774,3.5427245263398,5581.76143880774,"Low","1991","30-34",0.283388836688037,"30"
"Denmark","2011-2015","f","Middle","30-34",1e+05,54.0495396803902,173.974906394811,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","35-39",99826.0250936052,49.1393792420894,224.594657506605,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","40-44",99601.4304360986,44.2445479666884,365.591779253053,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","45-49",99235.8386568455,39.3983378048338,668.849154513649,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","50-54",98566.9895023319,34.6487200288251,1189.41473030511,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","55-59",97377.5747720268,30.0413993623601,2100.84193165596,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","60-64",95276.7328403708,25.6486843196841,3067.03541960102,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","65-69",92209.6974207698,21.418644928075,4312.65833674934,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","70-74",87897.0390840204,17.3468861136634,6555.42471892766,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","75-79",81341.6143650928,13.5434156513213,10773.5550381383,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","80-84",70568.0593269545,10.2294028736325,17087.4874550309,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","85-89",53480.5718719236,7.69901136911338,20349.542549198,"Medium","2011","30-34",0.363874885136726,"30"
"Denmark","2011-2015","f","Middle","90+",33131.0293227256,5.89231701739179,33131.0293227256,"Medium","2011","30-34",0.363874885136726,"30"
