"x","lx","cohort"
21,95877.1521522435,1959
22,95779.648049773,1959
23,95689.6583704513,1959
24,95576.5458773859,1959
25,95473.8616956751,1959
26,95325.6596267659,1959
27,95194.2400853979,1959
28,95093.671175037,1959
29,94980.7263315451,1959
30,94834.9517156366,1959
31,94691.452152974,1959
32,94548.2710982381,1959
33,94420.4333032031,1959
34,94265.2921009365,1959
35,94088.1993214143,1959
36,93913.8365900681,1959
37,93750.6520113657,1959
38,93610.0362358737,1959
39,93427.8222801484,1959
40,93260.5704232559,1959
41,93059.0371408674,1959
42,92874.6087376422,1959
43,92670.7528172435,1959
44,92425.0747554926,1959
45,92142.3529524287,1959
46,91871.8868697469,1959
47,91596.2327754207,1959
48,91308.3298840536,1959
49,90959.8938813815,1959
50,90543.3315844303,1959
51,90094.4497484651,1959
52,89724.0586527351,1959
53,89284.8443328681,1959
54,88772.6739819312,1959
55,88257.7931162232,1959
56,87794.5781892207,1959
57,87229.4985290219,1959
58,86503.4011056184,1959
59,85890.1485360796,1959
60,85186.9562254394,1959
61,84500.6252774129,1959
62,83831.4544444168,1959
0,1e+05,1960
1,97549.7276003692,1960
2,97416.9074075047,1960
3,97338.9006634142,1960
4,97260.9098988193,1960
5,97208.9576438178,1960
6,97163.0924156866,1960
7,97122.3432752151,1960
8,97061.2367271798,1960
9,96972.1121667065,1960
10,96931.3975837056,1960
11,96890.6405553433,1960
12,96855.0034616396,1960
13,96814.2957035407,1960
14,96778.7567159422,1960
15,96738.1602700975,1960
16,96674.7261785464,1960
17,96598.7362860377,1960
18,96533.0356863488,1960
19,96409.7255700612,1960
20,96271.9074923249,1960
21,96151.7611405635,1960
22,96043.9485839621,1960
23,95923.601823055,1960
24,95800.9477263959,1960
25,95716.223571137,1960
26,95603.0913113601,1960
27,95500.5613803109,1960
28,95371.2401632398,1960
29,95288.3167567496,1960
30,95188.3788497987,1960
31,95054.5091546572,1960
32,94899.0509005615,1960
33,94763.4988323097,1960
34,94628.2750381048,1960
35,94500.5398055485,1960
36,94366.5549493492,1960
37,94211.5937061217,1960
38,94075.920831437,1960
39,93911.8553276684,1960
40,93769.2282308783,1960
41,93553.1343035893,1960
42,93344.4818017057,1960
43,93152.3825349321,1960
44,92922.2989911899,1960
45,92661.4044546265,1960
46,92404.9798187741,1960
47,92115.4941159229,1960
48,91854.8532545887,1960
49,91518.8592506325,1960
50,91215.8652309949,1960
51,90846.4328650932,1960
52,90467.3801826421,1960
53,90069.4065063225,1960
54,89650.2237993151,1960
55,89201.0850346457,1960
56,88703.189430055,1960
57,88163.0029424158,1960
58,87571.1807273749,1960
59,86941.2783219751,1960
60,86306.4228049836,1960
61,85605.7111497337,1960
0,1e+05,1961
1,97503.9794716965,1961
2,97389.3852227518,1961
3,97292.6874887994,1961
4,97190.9633772771,1961
5,97124.5675626231,1961
6,97063.2979017243,1961
7,97012.276042777,1961
8,96956.1367630795,1961
9,96925.5346510652,1961
10,96872.2054842103,1961
11,96836.6899191951,1961
12,96801.2186510071,1961
13,96775.919099964,1961
14,96755.6734624632,1961
15,96717.701987519,1961
16,96659.5946765276,1961
17,96589.0103669871,1961
18,96488.2870247087,1961
19,96347.98851605,1961
20,96225.5148601541,1961
21,96107.9851460981,1961
22,95977.8508650864,1961
23,95905.5410075707,1961
24,95788.6058011736,1961
25,95641.2004946424,1961
26,95541.3106719639,1961
27,95439.1607833545,1961
28,95317.476377883,1961
29,95207.8493440099,1961
30,95113.1372595706,1961
31,95013.5317017018,1961
32,94870.4775116364,1961
33,94734.8567371224,1961
34,94551.272737709,1961
35,94383.3275880726,1961
36,94220.5904911691,1961
37,94098.8209370004,1961
38,93960.4644781276,1961
39,93848.2586392063,1961
40,93638.4405550387,1961
41,93457.1737756446,1961
42,93256.6951647671,1961
43,93065.8282609694,1961
44,92867.6583035822,1961
45,92626.7246713355,1961
46,92374.1174936315,1961
47,92081.657410965,1961
48,91815.7044182175,1961
49,91540.3909674796,1961
50,91224.5694394021,1961
51,90896.6045811574,1961
52,90530.5958675375,1961
53,90150.4309134001,1961
54,89708.9600440913,1961
55,89232.2403919918,1961
56,88725.2728330448,1961
57,88260.8266711598,1961
58,87701.6980954556,1961
59,87152.0808187314,1961
60,86485.0971789682,1961
0,1e+05,1962
1,97721.2008977688,1962
2,97558.2494964213,1962
3,97493.1241827629,1962
4,97417.8029095827,1962
5,97352.5849316963,1962
6,97282.395977577,1962
7,97224.7105157145,1962
8,97149.5572670337,1962
9,97087.061622826,1962
10,97042.0917256915,1962
11,96999.669663108,1962
12,96959.7748117791,1962
13,96929.8720978939,1962
14,96887.4427170811,1962
15,96840.0879324222,1962
16,96812.7329660722,1962
17,96748.2102220548,1962
18,96681.4353680493,1962
19,96580.3342184349,1962
20,96479.2580497037,1962
21,96390.5972976139,1962
22,96260.0926866189,1962
23,96134.9979842524,1962
24,96030.8640570309,1962
25,95942.176593677,1962
26,95865.6687908034,1962
27,95748.4162751079,1962
28,95659.9322156175,1962
29,95576.3181185538,1962
30,95490.6953363419,1962
31,95360.3346064076,1962
32,95225.4982466557,1962
33,95119.2444658803,1962
34,94969.082877452,1962
35,94861.5513657418,1962
36,94740.0920018205,1962
37,94623.4727508815,1962
38,94474.4625187217,1962
39,94323.1576369208,1962
40,94116.1335685137,1962
41,93929.8587387941,1962
42,93750.5364940576,1962
43,93564.1939280087,1962
44,93359.0317169803,1962
45,93126.0833251952,1962
46,92900.4640325996,1962
47,92659.1733012115,1962
48,92380.6222454303,1962
49,92064.9031139468,1962
50,91732.7221044052,1962
51,91367.7868969671,1962
52,91030.8638193072,1962
53,90684.8702177525,1962
54,90285.814772281,1962
55,89815.4549718334,1962
56,89352.1698566013,1962
57,88843.1966939873,1962
58,88368.6740052533,1962
59,87836.1182880448,1962
0,1e+05,1963
1,97759.1489023337,1963
2,97638.6807080701,1963
3,97536.737149417,1963
4,97477.4323904894,1963
5,97418.139665643,1963
6,97384.9090170255,1963
7,97337.4656177148,1963
8,97295.0144798002,1963
9,97257.3209488481,1963
10,97219.6693529194,1963
11,97189.125501751,1963
12,97160.8993249037,1963
13,97125.5869823479,1963
14,97090.3401236392,1963
15,97062.1878233558,1963
