"year","country","sex","edu","age","n","prev","source","alln"
"2011","Austria","f","1","From 30 to 34 years",43011,0.160464855991643,"EUROSTATcensus",NA
"2011","Austria","f","1","From 35 to 39 years",52974,0.186128386212712,"EUROSTATcensus",NA
"2011","Austria","f","1","From 40 to 44 years",69076,0.205102928557219,"EUROSTATcensus",NA
"2011","Austria","f","1","From 45 to 49 years",80968,0.22987578962311,"EUROSTATcensus",NA
"2011","Austria","f","1","From 50 to 54 years",83550,0.266701141500038,"EUROSTATcensus",NA
"2011","Austria","f","1","From 55 to 59 years",87407,0.330760119730115,"EUROSTATcensus",NA
"2011","Austria","f","1","From 60 to 64 years",91461,0.367214444306151,"EUROSTATcensus",NA
"2011","Austria","f","1","From 65 to 69 years",84874,0.397335305793791,"EUROSTATcensus",NA
"2011","Austria","f","2","From 25 to 29 years",165820,0.601784813480096,"EUROSTATcensus",NA
"2011","Austria","f","2","From 30 to 34 years",159625,0.595526787046709,"EUROSTATcensus",NA
"2011","Austria","f","2","From 35 to 39 years",170788,0.600077298759706,"EUROSTATcensus",NA
"2011","Austria","f","2","From 40 to 44 years",210239,0.624249154510121,"EUROSTATcensus",NA
"2011","Austria","f","2","From 45 to 49 years",216752,0.6153793739797,"EUROSTATcensus",NA
"2011","Austria","f","2","From 50 to 54 years",184108,0.587693761332005,"EUROSTATcensus",NA
"2011","Austria","f","2","From 55 to 59 years",142859,0.540598120797242,"EUROSTATcensus",NA
"2011","Austria","f","2","From 60 to 64 years",135169,0.542701361481047,"EUROSTATcensus",NA
"2011","Austria","f","2","From 65 to 69 years",114104,0.534174750009363,"EUROSTATcensus",NA
"2011","Austria","f","3","From 25 to 29 years",65352,0.237171879933369,"EUROSTATcensus",NA
"2011","Austria","f","3","From 30 to 34 years",65404,0.244008356961648,"EUROSTATcensus",NA
"2011","Austria","f","3","From 35 to 39 years",60848,0.213794315027582,"EUROSTATcensus",NA
"2011","Austria","f","3","From 40 to 44 years",57472,0.170647916932661,"EUROSTATcensus",NA
"2011","Austria","f","3","From 45 to 49 years",54505,0.154744836397189,"EUROSTATcensus",NA
"2011","Austria","f","3","From 50 to 54 years",45614,0.145605097167956,"EUROSTATcensus",NA
"2011","Austria","f","3","From 55 to 59 years",33995,0.128641759472643,"EUROSTATcensus",NA
"2011","Austria","f","3","From 60 to 64 years",22437,0.0900841942128022,"EUROSTATcensus",NA
"2011","Austria","f","3","From 65 to 69 years",14630,0.0684899441968466,"EUROSTATcensus",NA
"2011","Austria","m","1","From 25 to 29 years",45839,0.165342884762441,"EUROSTATcensus",NA
"2011","Austria","m","1","From 30 to 34 years",37694,0.1394694875808,"EUROSTATcensus",NA
"2011","Austria","m","1","From 35 to 39 years",37844,0.135057296926915,"EUROSTATcensus",NA
"2011","Austria","m","1","From 40 to 44 years",44325,0.130962757235083,"EUROSTATcensus",NA
"2011","Austria","m","1","From 45 to 49 years",48173,0.134500213589902,"EUROSTATcensus",NA
"2011","Austria","m","1","From 50 to 54 years",43613,0.139387644220013,"EUROSTATcensus",NA
"2011","Austria","m","1","From 55 to 59 years",43274,0.171030634063055,"EUROSTATcensus",NA
"2011","Austria","m","1","From 60 to 64 years",43175,0.186422162540264,"EUROSTATcensus",NA
"2011","Austria","m","1","From 65 to 69 years",36084,0.19069764983802,"EUROSTATcensus",NA
"2011","Austria","m","2","From 25 to 29 years",178187,0.642726774300596,"EUROSTATcensus",NA
"2011","Austria","m","2","From 30 to 34 years",169315,0.626473080324272,"EUROSTATcensus",NA
