"sex","geo","time","LEnew","unit","age","values","diffLE"
"M","NO",2017,56.4898103028194,"YR","Y25",56.6,-0.110189697180651
"M","SE",2007,54.9995528554987,"YR","Y25",54.7,0.299552855498746
"M","SE",2008,55.101867096822,"YR","Y25",54.8,0.301867096822043
"M","SE",2009,55.3624886668517,"YR","Y25",55.1,0.262488666851702
"M","SE",2010,55.4440134846773,"YR","Y25",55.2,0.244013484677311
"M","SE",2011,55.6932133623622,"YR","Y25",55.5,0.193213362362222
"M","SE",2012,55.7552577660278,"YR","Y25",55.5,0.255257766027761
"M","SE",2013,56.1059670243392,"YR","Y25",55.8,0.305967024339182
"M","SE",2014,56.1908915529833,"YR","Y25",56,0.190891552983331
"M","SE",2015,56.1645512630015,"YR","Y25",56,0.164551263001492
"M","SE",2016,56.289898806616,"YR","Y25",56.2,0.089898806615949
"M","SE",2017,56.480834681154,"YR","Y25",56.3,0.180834681154018
"M","SI",2011,52.7223534286306,"YR","Y25",52.5,0.222353428630619
"M","SI",2012,52.9489772399885,"YR","Y25",52.6,0.348977239988471
"M","SI",2014,54.0656896551724,"YR","Y25",53.6,0.465689655172405
"M","SI",2015,53.8917777953129,"YR","Y25",53.4,0.491777795312871
"M","SI",2016,54.433045880777,"YR","Y25",53.8,0.633045880776969
"M","SI",2017,54.2103878235446,"YR","Y25",53.7,0.510387823544583
"M","SK",2011,49.186309483745,"YR","Y25",48.3,0.886309483745038
"M","SK",2012,49.3915851727671,"YR","Y25",48.6,0.791585172767064
"M","SK",2013,49.6257944736461,"YR","Y25",48.9,0.72579447364614
"M","SK",2014,49.8919460968799,"YR","Y25",49.3,0.591946096879937
"M","SK",2015,49.7378732793421,"YR","Y25",49.1,0.637873279342074
"M","SK",2016,50.5058336863615,"YR","Y25",49.7,0.805833686361481
"M","SK",2017,50.5195580701889,"YR","Y25",49.7,0.819558070188847
"M","TR",2010,51.851933903647,"YR","Y25",51.1,0.751933903647
"M","TR",2011,51.8608190964929,"YR","Y25",51.2,0.660819096492936
"M","TR",2012,52.4218929191595,"YR","Y25",51.6,0.821892919159453
"M","TR",2015,52.8843399882201,"YR","Y25",52.1,0.784339988220111
"M","TR",2016,52.8021144413992,"YR","Y25",52,0.802114441399183
"M","TR",2017,52.9900097540607,"YR","Y25",52.2,0.790009754060655
