"sex","geo","time","edu","prevnew"
"M","EE",2020,"ED3_4",0.530515077189439
"M","EE",2020,"ED5-8",0.243687779541192
"M","FI",2007,"ED0-2",0.19759557016375
"M","FI",2007,"ED3_4",0.671848627520654
"M","FI",2007,"ED5-8",0.130555802315596
"M","FI",2008,"ED0-2",0.200219156528336
"M","FI",2008,"ED3_4",0.671349498468714
"M","FI",2008,"ED5-8",0.12843134500295
"M","FI",2009,"ED0-2",0.209479569413925
"M","FI",2009,"ED3_4",0.656615949486801
"M","FI",2009,"ED5-8",0.133904481099274
"M","FI",2010,"ED0-2",0.203357150958376
"M","FI",2010,"ED3_4",0.660740614721561
"M","FI",2010,"ED5-8",0.135902234320064
"M","FI",2011,"ED0-2",0.196942682606027
"M","FI",2011,"ED3_4",0.658375471312074
"M","FI",2011,"ED5-8",0.144681846081899
"M","FI",2012,"ED0-2",0.198139173098785
"M","FI",2012,"ED3_4",0.652216837192605
"M","FI",2012,"ED5-8",0.14964398970861
"M","FI",2013,"ED0-2",0.194300205289216
"M","FI",2013,"ED3_4",0.64723463349837
"M","FI",2013,"ED5-8",0.158465161212414
"M","FI",2014,"ED0-2",0.188519896936731
"M","FI",2014,"ED3_4",0.651188090466648
"M","FI",2014,"ED5-8",0.160292012596622
"M","FI",2015,"ED0-2",0.181841600595357
"M","FI",2015,"ED3_4",0.652231158943241
"M","FI",2015,"ED5-8",0.165927240461402
"M","FI",2016,"ED0-2",0.184445553891385
"M","FI",2016,"ED3_4",0.650607422200033
"M","FI",2016,"ED5-8",0.164947023908582
"M","FI",2017,"ED0-2",0.18439736058134
"M","FI",2017,"ED3_4",0.642091488710082
"M","FI",2017,"ED5-8",0.173511150708578
"M","FI",2018,"ED0-2",0.171476848445208
"M","FI",2018,"ED3_4",0.64832529365274
"M","FI",2018,"ED5-8",0.180197857902052
"M","FI",2019,"ED0-2",0.162204902293008
"M","FI",2019,"ED3_4",0.644357844798373
"M","FI",2019,"ED5-8",0.193437252908619
"M","FI",2020,"ED0-2",0.159602611730271
"M","FI",2020,"ED3_4",0.641027805921423
"M","FI",2020,"ED5-8",0.199369582348306
"M","NO",2007,"ED0-2",0.271239606953893
"M","NO",2007,"ED3_4",0.458994708994709
"M","NO",2007,"ED5-8",0.269765684051398
"M","NO",2008,"ED0-2",0.265718507572959
"M","NO",2008,"ED3_4",0.454266715921684
"M","NO",2008,"ED5-8",0.280014776505356
"M","NO",2009,"ED0-2",0.276439906780601
"M","NO",2009,"ED3_4",0.439832796951874
"M","NO",2009,"ED5-8",0.283727296267525
"M","NO",2010,"ED0-2",0.283263706606529
"M","NO",2010,"ED3_4",0.432067728936375
"M","NO",2010,"ED5-8",0.284668564457096
"M","NO",2011,"ED0-2",0.279441624365482
"M","NO",2011,"ED3_4",0.4321609862219
"M","NO",2011,"ED5-8",0.288397389412618
"M","NO",2012,"ED0-2",0.277187758478081
"M","NO",2012,"ED3_4",0.431430934656741
"M","NO",2012,"ED5-8",0.291381306865178
"M","NO",2013,"ED0-2",0.272192617624123
"M","NO",2013,"ED3_4",0.43095269040811
"M","NO",2013,"ED5-8",0.296854691967767
"M","NO",2014,"ED0-2",0.27585566627468
"M","NO",2014,"ED3_4",0.393018505910751
"M","NO",2014,"ED5-8",0.33112582781457
"M","NO",2015,"ED0-2",0.26852462950741
