"Country"	"Period"	"Sex"	"Education"	"AgeGrp"	"mx"	"ax"	"qx"	"px"	"lx"	"dx"	"Lx"	"Tx"	"ex"
"Denmark"	"1991-1995"	"Female"	"Low"	"60-64"	0.013412632979068	2.5	0.0648873880917284	0.935112611908272	89402.9319409015	5801.12274138766	432511.852851038	1875898.04448819	20.982511465376
"Denmark"	"1991-1995"	"Female"	"Low"	"65-69"	0.0197077530431963	2.5	0.0939117893357951	0.906088210664205	83601.8091995138	7851.19549363607	398381.057263479	1443386.19163715	17.2650114328572
"Denmark"	"1991-1995"	"Female"	"Low"	"70-74"	0.0302681406639832	2.5	0.140694315025388	0.859305684974612	75750.6137058778	10657.6807081012	352108.866759136	1045005.13437368	13.7953355524114
"Denmark"	"1991-1995"	"Female"	"Low"	"75-79"	0.048188839568648	2.5	0.215038105879774	0.784961894120226	65092.9329977765	13997.4610180009	290471.01244388	692896.26761454	10.6447234085797
"Denmark"	"1991-1995"	"Female"	"Low"	"80-84"	0.0796983065887721	2.5	0.332285127940193	0.667714872059807	51095.4719797756	16978.2654439643	213031.696288967	402425.255170659	7.87594750724576
"Denmark"	"1991-1995"	"Female"	"Low"	"85-89"	0.137320544257748	2.5	0.511130816512671	0.488869183487329	34117.2065358113	17438.3556337807	126990.143594605	189393.558881692	5.55126219618521
"Denmark"	"1991-1995"	"Female"	"Low"	"90+"	0.267274648755993	3.74146970037904	1	0	16678.8509020306	16678.8509020306	62403.4152870873	62403.4152870873	3.74146970037904
"Denmark"	"1991-1995"	"Male"	"Middle"	"30-34"	0.0011670865057147	2.5	0.00581845592508781	0.994181544074912	1e+05	581.845592508776	498545.386018728	4457364.83459077	44.5736483459077
"Denmark"	"1991-1995"	"Male"	"Middle"	"35-39"	0.00162004148899695	2.5	0.00806753309914857	0.991932466900851	99418.1544074912	802.059251338695	495085.623909109	3958819.44857204	39.8198847299638
"Denmark"	"1991-1995"	"Male"	"Middle"	"40-44"	0.00264934197021633	2.5	0.0131595494841876	0.986840450515812	98616.0951561525	1297.74338414475	489836.117320401	3463733.82466294	35.1234128585027
"Denmark"	"1991-1995"	"Male"	"Middle"	"45-49"	0.00396739811253524	2.5	0.0196421697942566	0.980357830205743	97318.3517720078	1911.54358960297	481812.899886032	2973897.70734253	30.5584471293721
"Denmark"	"1991-1995"	"Male"	"Middle"	"50-54"	0.00628112785654882	2.5	0.0309201064282099	0.96907989357179	95406.8081824048	2949.98866297575	469659.069254585	2492084.8074565	26.1206181711055
"Denmark"	"1991-1995"	"Male"	"Middle"	"55-59"	0.0108806755590229	2.5	0.0529627028295709	0.947037297170429	92456.8195194291	4896.7630567748	450042.189955208	2022425.73820192	21.8742732955131
"Denmark"	"1991-1995"	"Male"	"Middle"	"60-64"	0.0188464240566639	2.5	0.0899920494682998	0.9100079505317	87560.0564626543	7879.7089326343	418101.009981686	1572383.54824671	17.9577722053818
"Denmark"	"1991-1995"	"Male"	"Middle"	"65-69"	0.0296870585756275	2.5	0.138179905506288	0.861820094493712	79680.34753002	11010.2228924063	370876.180419084	1154282.53826502	14.4864144553353
