"x","mx","lx","year"
105,3.03030303030303,5.878122546314,1999
106,3.03030303030303,0.283919192652309,1999
107,3.03030303030303,0.0137135807090118,1999
108,3.03030303030303,0.000662379651427386,1999
109,3.03030303030303,3.19935990413316e-05,1999
0,0.0061353997594571,1e+05,2000
1,0.000350069474204401,99388.3383372008,2000
2,0.000145214766831553,99353.5516030992,2000
3,0.000197773019296148,99339.125047769,2000
4,0.000168112339389674,99319.4803917296,2000
5,0.000244619858022634,99302.7849649269,2000
6,0.000140294641193649,99278.4965026087,2000
7,2.79779131162695e-05,99264.5692385468,2000
8,0.000143454610817683,99261.7920619031,2000
9,8.82152900033551e-05,99247.5535214703,2000
10,0.00015029326725239,99238.7987559121,2000
11,0.000124103892332427,99223.884953359,2000
12,0.000129568966159501,99211.5716471043,2000
13,0.000232364682427189,99198.7177390867,2000
14,0.000237704481035088,99175.67013837,2000
15,0.000280503531890096,99152.0984388288,2000
16,0.000539761533354564,99124.2898254118,2000
17,0.000785094341575277,99070.8007837052,2000
18,0.000765867113004737,98993.0513828955,2000
19,0.000885062393494655,98917.2648853228,2000
20,0.000828599956084202,98829.7556653777,2000
21,0.00110105615753422,98747.8992519672,2000
22,0.000893936784366357,98639.2321047464,2000
23,0.000643555609640229,98551.0942674831,2000
24,0.00100209817691258,98487.6915617028,2000
25,0.000679626801239744,98389.0466597337,2000
26,0.00076308720876382,98322.2015441143,2000
27,0.000846397131072803,98247.20174911,2000
28,0.000693920218009906,98164.0807810503,2000
29,0.000974954196395286,98095.9863694908,2000
30,0.00105356675807236,98000.3938826504,2000
31,0.000716539706919905,97897.1982966428,2000
32,0.000993018354369983,97827.0761925032,2000
33,0.00106716799847751,97729.9803272566,2000
34,0.0010117550541014,97625.7416497426,2000
35,0.0010411199372431,97527.0182625826,2000
36,0.00143061021294172,97425.5337773768,2000
37,0.00142463178701224,97286.2554639968,2000
38,0.00139228223152013,97147.7570500693,2000
39,0.00190580786051723,97012.5940684392,2000
40,0.00249200611164499,96827.8827721221,2000
41,0.00229434615090468,96586.8875020363,2000
42,0.00234469121075376,96365.5377720178,2000
43,0.00262704591051704,96139.8550241543,2000
44,0.00289497453475127,95887.622669226,2000
45,0.00254700975692411,95610.4318671492,2000
46,0.00414451214113302,95367.2210259935,2000
47,0.00396305053820354,94972.7883506877,2000
48,0.00473680833303728,94597.1512168117,2000
49,0.00479634867056661,94150.1222238211,2000
50,0.00511244142218434,93699.6266408403,2000
51,0.0059881961310977,93221.8152205219,2000
52,0.00523358176570031,92665.2527729553,2000
53,0.00535921369238963,92181.5484528535,2000
54,0.00642488688110525,91688.8492555823,2000
55,0.00872892113493729,91101.6471443603,2000
56,0.00827417211869194,90309.8886770521,2000
57,0.00917044288639546,89565.7319998617,2000
58,0.0110536915697916,88748.1291897379,2000
59,0.0126803450850533,87772.5366254017,2000
60,0.0117819069655202,86666.5773635452,2000
61,0.0137775523194194,85651.4714959656,2000
62,0.0145180023228804,84479.4958825947,2000
63,0.0166925926015527,83261.8824092859,2000
64,0.018363372892516,81883.5616055791,2000
65,0.020338266757059,80393.625227347,2000
66,0.0224007777996209,78775.0732941822,2000
67,0.0265124574308744,77030.0680870637,2000
68,0.0287762111288475,75014.6466275094,2000
69,0.0321276264846238,72886.7722335852,2000
70,0.0340108414938724,70582.3099077793,2000
71,0.0385027063221009,68222.1098547577,2000
72,0.0436893397441411,65645.2994089256,2000
73,0.0445107370315127,62839.0476215087,2000
74,0.0469474890486664,60103.3704478471,2000
75,0.057825021868897,57346.8795571353,2000
76,0.0596131299285941,54124.8497162734,2000
77,0.0708487546711009,50992.5875388473,2000
78,0.0783032485371494,47504.8364147117,2000
79,0.0858217076781876,43926.9609657654,2000
80,0.090580445630531,40314.3130689778,2000
81,0.0944349277462995,36823.1278984634,2000
82,0.10850138857395,33504.8832050287,2000
83,0.117115912724275,30059.8323445302,2000
84,0.13329690305809,26737.6823454397,2000
85,0.13361905511473,23400.9586896123,2000
86,0.16330797939807,20474.0439690609,2000
87,0.179601727802014,17389.2110038098,2000
88,0.182093905943278,14530.4758837309,2000
89,0.19983225759399,12111.4867795629,2000
90,0.230122464762498,9917.71017297002,2000
91,0.269028206816225,7878.98903470753,2000
92,0.252260374316253,6020.5065104821,2000
93,0.310502283105023,4678.18876698837,2000
94,0.32527377209151,3429.48030909067,2000
95,0.383729854182655,2477.21504690682,2000
96,0.33879374534624,1687.76490137911,2000
97,0.471122935373018,1202.75091781414,2000
98,0.448815889992361,750.878390307604,2000
